episode,reward,avg_distance,policy_loss,contrastive_loss,entropy,tether_violations,collisions,hyperparams,algorithm,timestamp,num_episodes
35,-100,4.48879858156415,-0.062194228172302246,0.0,0.24300271272659302,86,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:20:55,50
36,-50,7.308049424293861,-0.0646284893155098,0.0,0.24171407520771027,100,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:21:25,50
37,-50,6.029891108618667,-0.10377509146928787,0.0,0.2365807741880417,98,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:21:56,50
38,-100,2.6482177708484858,-0.07061605155467987,0.0,0.24264346063137054,78,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:22:26,50
39,-100,6.715255414904995,-0.07922948151826859,0.0,0.23965628445148468,97,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:22:56,50
40,-50,7.307148654455911,-0.07481898367404938,0.0,0.24275237321853638,100,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:23:27,50
41,-50,9.222881414917465,-0.1046978160738945,0.0,0.2417132556438446,100,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:23:57,50
42,-50,6.6766547524503315,-0.06499356031417847,0.0,0.24245601892471313,94,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:24:28,50
43,0,3.6627698872201346,-0.09861457347869873,0.0,0.23677730560302734,77,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:24:58,50
44,-100,5.933702532781138,-0.09834370762109756,0.0,0.2417673021554947,98,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:25:29,50
45,-100,3.0685557051864594,-0.061528414487838745,0.0,0.24298381805419922,77,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:25:59,50
46,-100,4.683284147950032,-0.06363757699728012,0.0,0.24345241487026215,84,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:26:30,50
47,400,8.589606447783554,-0.13951382040977478,0.0,0.2361108958721161,100,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:27:00,50
48,-50,6.526569218727396,-0.07272586226463318,0.0,0.2417023479938507,100,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:27:31,50
49,-100,4.163634874325877,-0.0672559067606926,0.0,0.2434566766023636,86,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:28:01,50
50,-100,5.99879109663186,-0.06628603488206863,0.0,0.24070636928081512,98,0,"{'lr': 0.0001, 'max_steps': 100, 'max_episodes': 50}",DIAL,2025-04-06 13:28:32,50
